dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
4/1/2016 19:56,Volkswagen_Scirocco_1.4_TSI_Sport,privat,Angebot,10400,control,coupe,2009,manuell,160,scirocco,100000,4,benzin,volkswagen,nein,4/1/2016 0:00,0,75365,4/5/2016 16:45
3/27/2016 11:38,BMW_530i_TÜV_7/17_Scheckheftgepflegt_sehr_guter_Zustand,privat,Angebot,3699,test,limousine,2002,automatik,231,5er,150000,7,benzin,bmw,nein,3/27/2016 0:00,0,68309,4/7/2016 6:44
3/23/2016 14:52,Opel_Meriva_1.Hand_TÜV_3.2018,privat,Angebot,2900,test,,2018,manuell,90,meriva,150000,5,benzin,opel,nein,3/23/2016 0:00,0,49716,3/31/2016 1:16
3/12/2016 19:43,Stadtflitzer,privat,Angebot,450,test,kleinwagen,1997,manuell,50,arosa,150000,5,benzin,seat,nein,3/12/2016 0:00,0,9526,3/21/2016 1:46
3/13/2016 20:40,MERCEDES_200E__TÜV_04/2016,privat,Angebot,500,test,limousine,1990,manuell,118,andere,150000,10,benzin,mercedes_benz,ja,3/13/2016 0:00,0,35390,3/13/2016 20:40
3/18/2016 21:44,BMW_530d_touring_Vollausstattung_NAVI,privat,Angebot,2500,control,kombi,2002,automatik,193,5er,150000,9,diesel,bmw,ja,3/18/2016 0:00,0,73765,3/18/2016 21:44
3/10/2016 19:38,Citroen_C4_Grand_Picasso.,privat,Angebot,5555,control,,2017,manuell,125,c4,125000,4,,citroen,nein,3/10/2016 0:00,0,31139,3/16/2016 9:16
3/7/2016 12:51,Honda_Civic_1.4_i_VTEC_Comfort,privat,Angebot,6900,test,limousine,2008,manuell,99,civic,60000,11,benzin,honda,nein,3/7/2016 0:00,0,12621,3/26/2016 9:44
3/9/2016 11:56,Volkswagen_T3_andere,privat,Angebot,1990,test,bus,1981,manuell,50,transporter,5000,1,benzin,volkswagen,nein,3/9/2016 0:00,0,87471,3/10/2016 7:44
3/8/2016 19:55,Fiat_Punto_1.2,privat,Angebot,690,test,kleinwagen,2003,manuell,60,punto,150000,3,benzin,fiat,nein,3/8/2016 0:00,0,86199,3/9/2016 11:45
4/3/2016 15:48,Mercedes_Benz_E_250_D_Original_Zustand_!!,privat,Angebot,3300,test,limousine,1995,automatik,113,e_klasse,150000,1,diesel,mercedes_benz,nein,4/3/2016 0:00,0,53879,4/5/2016 15:16
3/29/2016 16:57,Renault_clio_1.2_TÜV_07/2016,privat,Angebot,899,control,,2016,manuell,60,clio,150000,6,benzin,renault,,3/29/2016 0:00,0,37075,3/29/2016 17:43
3/15/2016 20:59,Golf_3_....._1.4,privat,Angebot,245,test,limousine,1994,,0,golf,150000,2,benzin,volkswagen,nein,3/15/2016 0:00,0,44145,3/17/2016 18:17
3/25/2016 21:48,BMW_325i_Aut.,privat,Angebot,18000,test,limousine,2007,automatik,218,3er,20000,5,benzin,bmw,nein,3/25/2016 0:00,0,39179,4/7/2016 4:45
3/17/2016 18:55,Mercedes_Benz_E_200_CDI_Automatik_Classic,privat,Angebot,3500,control,limousine,2004,automatik,122,e_klasse,150000,11,diesel,mercedes_benz,nein,3/17/2016 0:00,0,67071,3/30/2016 15:46
3/8/2016 7:54,VW_Golf_3,privat,Angebot,350,test,,2016,manuell,75,golf,150000,4,benzin,volkswagen,nein,3/8/2016 0:00,0,19386,3/8/2016 9:44
3/11/2016 11:50,Opel_Kadett_E_CC,privat,Angebot,1600,control,andere,1991,manuell,75,kadett,70000,0,,opel,,3/11/2016 0:00,0,2943,4/7/2016 3:46
3/28/2016 17:50,Renault_Kangoo_1.9_Diesel,privat,Angebot,1500,test,,2016,,0,kangoo,150000,1,diesel,renault,nein,3/28/2016 0:00,0,46483,3/30/2016 9:18
4/1/2016 17:45,Abschleppwagen_Vw_LT_195.000_gruene_Plakette_TÜV_8/2017,privat,Angebot,11900,test,andere,2002,manuell,129,andere,150000,11,diesel,volkswagen,nein,4/1/2016 0:00,0,10551,4/5/2016 12:47
3/25/2016 15:50,Mercedes_Camper_D407,privat,Angebot,1500,test,bus,1984,manuell,70,andere,150000,8,diesel,mercedes_benz,nein,3/25/2016 0:00,0,22767,3/27/2016 3:17
3/26/2016 22:06,Suche_Opel_corsa_a_zu_verschenken,privat,Angebot,0,test,,1990,,0,corsa,150000,1,benzin,opel,,3/26/2016 0:00,0,56412,3/27/2016 17:43
3/30/2016 20:38,E_500_Avantgarde_AMG_Ausstattung,privat,Angebot,7500,control,limousine,2002,automatik,306,e_klasse,150000,4,,mercedes_benz,,3/30/2016 0:00,0,33649,4/3/2016 11:44
3/24/2016 0:52,BMW_E60_530XD,privat,Angebot,12500,test,limousine,2006,automatik,231,5er,150000,11,diesel,bmw,,3/23/2016 0:00,0,46119,4/4/2016 16:18
3/13/2016 15:47,Mini_One_Pepper_Scheckheftgepflegt,privat,Angebot,6990,test,limousine,2007,manuell,95,one,100000,8,benzin,mini,nein,3/13/2016 0:00,0,59174,3/21/2016 17:17
3/17/2016 12:44,Smart_For_two_Klima_regensensor_uSw,privat,Angebot,3900,test,kleinwagen,2008,automatik,61,fortwo,80000,6,benzin,smart,,3/17/2016 0:00,0,21073,3/19/2016 11:46
3/29/2016 18:57,Renault_Clio_1.4,privat,Angebot,590,control,kleinwagen,1999,manuell,75,clio,125000,8,benzin,renault,nein,3/29/2016 0:00,0,84180,3/29/2016 18:57
3/15/2016 18:59,BMW_120d_DPF,privat,Angebot,7999,control,limousine,2007,manuell,177,1er,150000,8,diesel,bmw,nein,3/15/2016 0:00,0,53604,3/16/2016 16:47
4/4/2016 0:38,BMW_528i_touring,privat,Angebot,2100,test,kombi,1998,automatik,193,5er,150000,2,benzin,bmw,nein,4/3/2016 0:00,0,86157,4/6/2016 8:16
3/25/2016 14:40,VW_Golf_6___Klima___Alu___Scheckheft_!!!,privat,Angebot,7750,control,,2017,manuell,80,golf,100000,1,benzin,volkswagen,,3/25/2016 0:00,0,48499,3/31/2016 21:47
4/4/2016 14:06,Mercedes_Benz_B180_Automatik,privat,Angebot,13500,test,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz,nein,4/4/2016 0:00,0,35576,4/5/2016 12:09
3/30/2016 8:50,BMW_120i_Cabrio_mit_M_Paket,privat,Angebot,14800,control,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw,,3/30/2016 0:00,0,48691,4/7/2016 0:17
3/7/2016 18:57,Fiat_punto_5_tuerer__6_gang,privat,Angebot,2000,control,,2017,manuell,90,punto,150000,11,diesel,fiat,ja,3/7/2016 0:00,0,66115,3/7/2016 18:57
4/4/2016 10:57,Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,privat,Angebot,1400,control,,2016,manuell,55,andere,5000,1,,hyundai,,4/4/2016 0:00,0,34454,4/6/2016 12:45
3/29/2016 18:53,Bmw_318_d_Sport_Edition_Facelift,privat,Angebot,7999,control,limousine,2008,automatik,143,3er,150000,12,diesel,bmw,,3/29/2016 0:00,0,71083,4/6/2016 4:45
3/17/2016 7:56,Opel_signum_1.9_cdti,privat,Angebot,4700,control,kombi,2005,manuell,0,signum,150000,0,,opel,nein,3/17/2016 0:00,0,88433,4/4/2016 4:17
3/26/2016 10:39,auto_opel_astra,privat,Angebot,550,test,kombi,1999,manuell,0,astra,150000,8,diesel,opel,ja,3/26/2016 0:00,0,56759,4/1/2016 23:17
3/21/2016 1:59,BMW_435i_Sport_coupe,privat,Angebot,39600,test,coupe,2014,automatik,306,andere,30000,7,benzin,bmw,nein,3/21/2016 0:00,0,10435,4/3/2016 23:16
3/22/2016 17:56,Smart_Cabrio_TÜV_bis_07/17,privat,Angebot,3000,control,cabrio,2006,automatik,61,fortwo,80000,1,benzin,smart,nein,3/22/2016 0:00,0,12055,3/22/2016 17:56
3/10/2016 20:53,Seat_inca_1.9SDI___LKW_Zulassung___TÜV_NEU,privat,Angebot,2399,test,,2018,manuell,64,andere,125000,3,,seat,nein,3/10/2016 0:00,0,33397,3/25/2016 10:17
3/31/2016 8:57,Volkswagen_Golf_1.6_Comfortline,privat,Angebot,1000,control,limousine,1998,manuell,101,golf,150000,10,benzin,volkswagen,nein,3/31/2016 0:00,0,39624,4/6/2016 3:15
3/29/2016 15:48,TAUSCHE_BMW_E38_740i_g._SUV_/_GELÄNDEWAGEN_LESEN_LESEN,privat,Angebot,1,control,suv,1994,manuell,286,,150000,11,,sonstige_autos,,3/29/2016 0:00,0,53721,4/6/2016 1:44
3/26/2016 7:54,Bmw_316i_compact.____200€,privat,Angebot,200,test,coupe,1995,manuell,102,3er,150000,4,benzin,bmw,,3/26/2016 0:00,0,23560,4/1/2016 20:46
3/25/2016 19:44,Audi_A8_3.0_TDI_quattro,privat,Angebot,7499,test,limousine,2004,automatik,232,a8,150000,3,diesel,audi,ja,3/25/2016 0:00,0,71711,4/7/2016 1:44
3/30/2016 12:49,Skoda_Fabia_1.2,privat,Angebot,5500,control,kleinwagen,2010,manuell,60,fabia,70000,4,benzin,skoda,nein,3/30/2016 0:00,0,57076,4/7/2016 3:44
3/8/2016 12:54,Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline,privat,Angebot,7000,test,limousine,2006,automatik,105,jetta,100000,10,diesel,volkswagen,nein,3/8/2016 0:00,0,6242,3/11/2016 17:16
3/7/2016 22:36,BMW_325_i_Cabrio_wenig_Kilometer,privat,Angebot,14999,test,cabrio,2007,manuell,218,3er,50000,8,benzin,bmw,nein,3/7/2016 0:00,0,1129,3/15/2016 10:17
3/28/2016 17:41,Opel_Astra_1.4_mit_vielen_Extras!!!!,privat,Angebot,10900,test,,2017,manuell,101,astra,50000,3,,opel,nein,3/28/2016 0:00,0,63607,4/6/2016 23:15
3/15/2016 14:50,Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!,privat,Angebot,9700,test,coupe,2008,manuell,160,scirocco,150000,8,benzin,volkswagen,nein,3/15/2016 0:00,0,55218,4/6/2016 4:17
3/21/2016 12:47,Honda_HRV_reserviert!!!,privat,Angebot,2100,control,suv,2000,manuell,105,andere,150000,8,benzin,honda,nein,2/9/2016 0:00,0,85244,3/31/2016 16:46
3/15/2016 9:51,Mercedes_Benz_190,privat,Angebot,1280,control,limousine,1992,automatik,109,andere,150000,9,benzin,mercedes_benz,,3/15/2016 0:00,0,86163,4/5/2016 19:18
4/1/2016 11:56,Opel_astra_g_coupe_1.8_liter_benziner,privat,Angebot,1200,test,coupe,2001,,0,astra,150000,0,,opel,,4/1/2016 0:00,0,47249,4/7/2016 8:46
3/8/2016 1:36,Volkswagen_Polo,privat,Angebot,800,control,kleinwagen,1993,manuell,0,polo,150000,3,benzin,volkswagen,nein,3/8/2016 0:00,0,8258,4/5/2016 23:46
3/7/2016 8:55,BMW_520i_E39,privat,Angebot,2300,control,,1997,manuell,150,5er,150000,3,,bmw,nein,3/7/2016 0:00,0,79341,3/22/2016 5:15
3/5/2016 16:45,Ford_Fiesta,privat,Angebot,750,control,kleinwagen,2002,manuell,50,fiesta,150000,4,benzin,ford,nein,3/5/2016 0:00,0,70327,3/11/2016 6:16
3/22/2016 17:45,Mercedes_Benz_C_180_T_Kompressor_Avantgarde,privat,Angebot,7999,control,kombi,2008,manuell,156,c_klasse,150000,10,benzin,mercedes_benz,nein,3/22/2016 0:00,0,83355,3/25/2016 9:47
3/31/2016 18:46,VW_Golf_V_Plus_TDI_1_8,privat,Angebot,6600,control,limousine,2006,manuell,105,golf,150000,10,diesel,volkswagen,nein,3/31/2016 0:00,0,41812,3/31/2016 18:46
3/17/2016 9:48,Nissan_Micra_1.2_CVT,privat,Angebot,7999,test,kleinwagen,2013,manuell,80,micra,40000,4,benzin,nissan,nein,3/17/2016 0:00,0,46145,4/6/2016 7:44
3/11/2016 14:50,MB_Vito_Transporter_108_CDI,privat,Angebot,1400,control,andere,2003,manuell,82,vito,150000,8,diesel,mercedes_benz,nein,3/11/2016 0:00,0,4668,3/11/2016 14:50
3/31/2016 22:48,Golf_4_TDi_1_9.__3_tuerig,privat,Angebot,800,test,,2000,manuell,90,golf,150000,2,diesel,volkswagen,,3/31/2016 0:00,0,32584,4/6/2016 19:15
3/10/2016 10:50,Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._TÜV/AU_NEU,privat,Angebot,5000,test,bus,2006,manuell,109,sprinter,150000,4,diesel,mercedes_benz,nein,3/10/2016 0:00,0,26382,3/12/2016 14:45
3/11/2016 23:42,Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach,privat,Angebot,20300,test,limousine,2010,automatik,204,e_klasse,80000,12,diesel,mercedes_benz,nein,3/11/2016 0:00,0,51491,4/3/2016 1:26
3/17/2016 18:52,Opel_Astra_F_Cabrio,privat,Angebot,150,control,,2016,manuell,75,astra,150000,3,benzin,opel,ja,3/17/2016 0:00,0,78315,4/5/2016 3:45
4/1/2016 22:39,muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen,privat,Angebot,250,test,kombi,2000,manuell,155,156,150000,0,benzin,alfa_romeo,ja,4/1/2016 0:00,0,8396,4/5/2016 20:18
4/3/2016 12:56,Bastler_Fahrzeug_mit_Rest_Tuev,privat,Angebot,350,control,kleinwagen,1997,manuell,54,,150000,3,,fiat,ja,4/3/2016 0:00,0,45665,4/5/2016 11:47
3/9/2016 21:46,Ford_Escort_CLX,privat,Angebot,600,test,limousine,1994,manuell,75,escort,100000,6,benzin,ford,ja,3/9/2016 0:00,0,37359,4/5/2016 23:44
3/23/2016 18:59,Mercedes_Benz_C_220_T_CDI_Avantgarde,privat,Angebot,3300,test,kombi,2005,manuell,150,c_klasse,150000,9,diesel,mercedes_benz,ja,3/23/2016 0:00,0,29221,3/23/2016 18:59
3/12/2016 19:46,SUBARU_FORESTER,privat,Angebot,1600,test,kombi,1997,automatik,122,forester,150000,10,benzin,subaru,nein,3/12/2016 0:00,0,87497,3/15/2016 6:46
3/29/2016 14:58,Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl,privat,Angebot,8000,test,suv,2005,manuell,185,xc_reihe,150000,8,diesel,volvo,,3/29/2016 0:00,0,96472,4/3/2016 23:18
3/13/2016 19:52,Mitsubishi_L_400,privat,Angebot,1800,control,bus,2001,manuell,87,andere,150000,7,diesel,mitsubishi,nein,3/13/2016 0:00,0,24116,3/17/2016 13:47
3/8/2016 13:49,Fiesta_Titanium_1.25,privat,Angebot,6800,control,kleinwagen,2009,manuell,82,fiesta,60000,12,benzin,ford,nein,3/8/2016 0:00,0,51065,4/5/2016 19:18
3/7/2016 17:38,Renault_Scenic,privat,Angebot,2990,test,bus,2004,manuell,113,scenic,150000,12,benzin,renault,nein,3/7/2016 0:00,0,41836,3/9/2016 6:15
3/28/2016 9:37,MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1€,privat,Angebot,1,control,limousine,1995,manuell,113,e_klasse,150000,4,diesel,mercedes_benz,nein,3/28/2016 0:00,0,40589,4/6/2016 12:15
3/23/2016 11:53,A4_Diesel_Leder_Top___NAVI,privat,Angebot,2400,test,limousine,2003,manuell,0,a4,150000,9,diesel,audi,,3/23/2016 0:00,0,40210,3/23/2016 11:53
4/2/2016 23:25,Senator_A2__3_0E__180PS__CD_Ausstattung.,privat,Angebot,1222,control,limousine,1984,automatik,180,andere,150000,3,benzin,opel,,4/2/2016 0:00,0,57290,4/6/2016 14:44
3/16/2016 7:56,FORD_KA___TÜV_ABGELAUFEN,privat,Angebot,250,control,,2000,,60,ka,150000,0,,ford,,3/16/2016 0:00,0,51427,3/21/2016 9:47
3/10/2016 11:44,Audi_A1_1.2_TFSI_S_Line,privat,Angebot,14500,test,kleinwagen,2013,manuell,86,a1,60000,4,benzin,audi,nein,3/10/2016 0:00,0,31582,4/7/2016 1:15
3/28/2016 16:37,unfall_Opel_insignia_voll_Ausstattung__TÜV_neu__ideal_fuer_Bastler,privat,Angebot,8390,test,,2009,,0,insignia,150000,0,,opel,,3/28/2016 0:00,0,29221,3/30/2016 7:44
3/25/2016 18:44,Volkswagen_Passat_1.9_TDI,privat,Angebot,3850,test,limousine,2003,manuell,131,passat,150000,5,diesel,volkswagen,nein,3/25/2016 0:00,0,30459,4/7/2016 0:16
3/31/2016 10:53,BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!,privat,Angebot,23490,control,limousine,2013,automatik,143,3er,40000,6,diesel,bmw,nein,3/31/2016 0:00,0,49356,4/6/2016 3:44
3/26/2016 15:38,VW_t5_kastenwagen,privat,Angebot,6450,test,bus,2008,manuell,84,transporter,150000,12,,volkswagen,nein,3/26/2016 0:00,0,44623,4/6/2016 3:17
4/1/2016 12:45,Mercedes_A_Klasse____Top_Zustand___TÜV/AU___neu_!_Halbautomatik,privat,Angebot,1700,test,kleinwagen,1999,automatik,102,a_klasse,125000,11,benzin,mercedes_benz,nein,4/1/2016 0:00,0,12305,4/1/2016 12:45
3/11/2016 19:00,OPEL_COMBO_2008__TÜV_Neu_bis_02.2018__DIESEL___LKW_ZULLASUNG,privat,Angebot,4290,test,bus,2008,manuell,0,combo,150000,2,diesel,opel,nein,3/11/2016 0:00,0,23568,4/5/2016 22:45
3/28/2016 0:56,Ford_Focus_Turnier_1.6_TDCi_DPF,privat,Angebot,1500,control,kombi,2006,manuell,109,focus,150000,10,diesel,ford,nein,3/27/2016 0:00,0,74223,4/2/2016 11:47
3/15/2016 17:41,Audi_A4_B5_1_6_Liter,privat,Angebot,499,control,limousine,1995,manuell,101,a4,150000,5,benzin,audi,,3/15/2016 0:00,0,85414,3/22/2016 20:48
3/16/2016 16:44,Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik,privat,Angebot,22999,control,coupe,2012,automatik,303,andere,50000,4,benzin,hyundai,nein,3/16/2016 0:00,0,88167,4/6/2016 20:18
4/1/2016 9:54,Audi_a4_2.5_TDI_Tausch_moeglich,privat,Angebot,6500,test,limousine,2004,manuell,163,a4,150000,4,diesel,audi,,4/1/2016 0:00,0,97450,4/1/2016 9:54
3/26/2016 7:36,verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift,privat,Angebot,900,test,kombi,1999,manuell,125,c_klasse,150000,7,diesel,mercedes_benz,nein,3/26/2016 0:00,0,37130,3/29/2016 11:44
3/21/2016 10:47,BMW_316_automatikgetriebe_Klimaanlage,privat,Angebot,650,test,limousine,1997,automatik,102,3er,150000,8,benzin,bmw,,3/21/2016 0:00,0,13357,3/22/2016 14:49
3/20/2016 12:59,Ford_Escort_Cabrio,privat,Angebot,300,test,cabrio,1992,manuell,105,escort,150000,0,,ford,ja,3/20/2016 0:00,0,88515,4/6/2016 13:15
4/2/2016 12:54,Audi_TT_Coupe_1.8_T_quattro,privat,Angebot,3399,test,coupe,1999,manuell,224,tt,150000,9,benzin,audi,ja,4/2/2016 0:00,0,61276,4/5/2016 19:44
3/23/2016 10:59,Volkswagen_Passat_Variant_1.6_Kombi_mit_TÜV_und_AHK,privat,Angebot,1300,control,kombi,1997,manuell,101,passat,150000,10,benzin,volkswagen,nein,3/23/2016 0:00,0,4277,3/29/2016 4:46
3/16/2016 23:25,Honda_Civic_EG4,privat,Angebot,900,test,,1995,manuell,90,civic,150000,3,benzin,honda,,3/16/2016 0:00,0,35789,3/19/2016 17:19
3/22/2016 17:44,530d_XDRIVE_235_PS,privat,Angebot,7300,control,limousine,2009,automatik,235,5er,100000,3,diesel,bmw,nein,3/22/2016 0:00,0,83022,3/22/2016 17:44
3/26/2016 15:47,Opel_Astra_Twin_Top_2.0_Turbo,privat,Angebot,8599,test,cabrio,2006,manuell,200,astra,125000,9,benzin,opel,nein,3/26/2016 0:00,0,79761,4/6/2016 4:15
4/3/2016 3:57,Opel_Corsa_TÜV_bis_Ende_2016,privat,Angebot,350,test,kleinwagen,1998,,0,corsa,150000,2,benzin,opel,,4/3/2016 0:00,0,82110,4/3/2016 8:53
3/19/2016 18:40,Golf_IV_1.4_16V,privat,Angebot,0,test,,2017,manuell,0,golf,5000,12,benzin,volkswagen,,3/19/2016 0:00,0,21698,4/1/2016 8:47
3/14/2016 20:37,Audi_A6_2_5_TDi_Quattro_Avant_Automatic__Turbo__Kombi__132_KW__2_,privat,Angebot,5900,control,kombi,2005,automatik,178,a6,150000,1,diesel,audi,nein,3/14/2016 0:00,0,88131,4/6/2016 7:17
3/20/2016 18:38,Volkswagen_Golf_1.8_5V_Turbo,privat,Angebot,6300,test,limousine,2002,manuell,265,golf,150000,3,benzin,volkswagen,nein,3/20/2016 0:00,0,56759,4/7/2016 1:45
4/4/2016 9:50,Volkswagen_Corrado_1.8_G60,privat,Angebot,3500,control,coupe,1991,manuell,160,andere,150000,5,benzin,volkswagen,nein,4/4/2016 0:00,0,66111,4/6/2016 11:17
3/20/2016 18:53,Polo_6n_Karosse_zu_verschenken,privat,Angebot,0,test,kleinwagen,1999,,0,,5000,0,benzin,volkswagen,,3/20/2016 0:00,0,37520,4/7/2016 2:45
3/9/2016 17:47,BMW_320d_DPF,privat,Angebot,5950,test,limousine,2006,manuell,163,3er,150000,1,diesel,bmw,ja,3/9/2016 0:00,0,63526,3/10/2016 14:15
4/3/2016 12:45,Honda_Jazz_1.2_S,privat,Angebot,1699,control,kleinwagen,2003,manuell,77,jazz,150000,8,benzin,honda,nein,4/3/2016 0:00,0,42105,4/7/2016 14:57
3/20/2016 13:54,Volkswagen_vw_t4_Einzelstueck,privat,Angebot,4699,test,bus,1996,manuell,110,transporter,150000,8,benzin,volkswagen,nein,3/20/2016 0:00,0,79713,3/25/2016 13:45
3/23/2016 12:54,Motorschaden_steuerrichmen_gerissen,privat,Angebot,400,control,limousine,2000,manuell,144,omega,150000,10,,opel,ja,3/23/2016 0:00,0,45968,4/5/2016 12:45
3/12/2016 22:57,Volkswagen_Polo_1.4_FSI_Team,privat,Angebot,9290,control,kleinwagen,2010,manuell,86,polo,40000,5,benzin,volkswagen,nein,3/12/2016 0:00,0,35630,3/26/2016 6:17
3/18/2016 11:25,Mercedes_Benz_Kabrio__Limousine___mit_Gas_Umbau....,privat,Angebot,7000,control,limousine,2003,manuell,120,slk,150000,5,benzin,mercedes_benz,nein,3/18/2016 0:00,0,57578,3/23/2016 8:44
4/1/2016 17:56,Servo_Klima_Zv__usw,privat,Angebot,1199,test,kleinwagen,2000,manuell,60,twingo,150000,5,benzin,renault,nein,4/1/2016 0:00,0,28832,4/5/2016 13:44
3/27/2016 12:36,Ford_Focus_1_6l*Klima*TÜV*,privat,Angebot,1750,test,limousine,2002,manuell,75,focus,125000,1,benzin,ford,nein,3/27/2016 0:00,0,33330,3/27/2016 12:36
3/18/2016 23:41,Volkswagen_Golf_CL,privat,Angebot,1000,test,limousine,1990,manuell,54,golf,150000,2,benzin,volkswagen,nein,3/18/2016 0:00,0,47447,4/5/2016 23:16
3/11/2016 20:55,BMW_740i,privat,Angebot,1800,control,limousine,1995,automatik,286,7er,150000,12,benzin,bmw,ja,3/11/2016 0:00,0,77866,3/20/2016 10:17
3/20/2016 10:54,VW_Golf_6_1.4_Comfortline,privat,Angebot,8000,control,,2009,manuell,0,golf,100000,10,benzin,volkswagen,nein,3/20/2016 0:00,0,94139,4/6/2016 7:45
